,Sr.No.,Grocery_Name,Brand_Name,Rating,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Quantity_upd,Converted_Quantity,Price_per_unit(gm/ml/pc)
93,93.0,Cow Ghee/Tuppa,Aashirvaad Svasti,4.2,840.0,798.0,42.0,5.0,1 L - Pet Jar,1 L ,1 L ,1000.0,0.798
196,196.0,Rice Bran Health Physically Refined Oil,Fortune,4.2,775.0,708.4,66.60000000000002,8.59,5 L - Jar,5 L ,5 L ,5000.0,0.14168
213,213.0,Oil - Groundnut,Dhara,4.1,1275.0,1106.95,168.04999999999995,13.18,5 L - Can,5 L ,5 L ,5000.0,0.22139
281,281.0,Refined - Sunflower Oil,Dhara,4.2,725.0,577.5,147.5,20.34,5 L - Can,5 L ,5 L ,5000.0,0.1155
289,289.0,Pure Cow Ghee,Gowardhan,4.1,770.0,692.0,78.0,10.13,2 x 500 ml - Multipack,2*500 ml ,1000 ml,1000.0,0.692
368,368.0,"Refined Sunflower Oil - with Vitamins A, D & E",Freedom,4.3,720.0,598.0,122.0,16.94,5 L - Can,5 L ,5 L ,5000.0,0.1196
426,426.0,Oil - Mustard (Kachi Ghani),Dhara,4.2,825.0,812.0,13.0,1.58,5 L - Can,5 L ,5 L ,5000.0,0.1624
433,433.0,Tasty Refined Cooking oil | Blended Rice bran & Corn oil | Pro Fitness Conscious,Saffola,4.3,755.0,729.0,26.0,3.44,5 L - Jar,5 L ,5 L ,5000.0,0.1458
438,438.0,"Refined Sunflower Oil - Trans Fat Free, Healthy Cooking Oil",Fiona,4.1,666.0,566.72,99.27999999999997,14.91,5 L - Jar,5 L ,5 L ,5000.0,0.113344
441,441.0,Pure Ghee,Amul,4.1,1270.0,1270.0,0.0,0.0,2 x 1 L - Multipack,2*1 L ,2 L,2000.0,0.635
469,469.0,Olive Pomace Oil,Leonardo,4.2,399.0,359.61,39.389999999999986,9.87,500 ml - Bottle,500 ml ,500 ml ,500.0,0.7192200000000001
538,538.0,Premium Diwali Gift Box,BB Royal,4.0,199.0,151.0,48.0,24.12,"150 g - (Almonds, Raisins, Cashews, 50 g each)",150 g ,150 g ,150.0,1.0066666666666666
622,622.0,Mustard Oil,Patanjali,4.2,140.0,140.0,0.0,0.0,1 L,1 L,1 L,1000.0,0.14
721,721.0,"Xpert - Total Balance Oil, Blend Of Rice Bran, Soyabean & Flaxseeds, Rich In Omega 3",Fortune,4.3,800.0,666.0,134.0,16.75,5 L,5 L,5 L,5000.0,0.1332
788,788.0,Oil - Mustard (Kachi Ghani),Dhara,4.9,165.0,162.4,2.5999999999999943,1.58,1 L - Carton,1 L ,1 L ,1000.0,0.16240000000000002
841,841.0,Virgin Groundnut Oil,Patanjali,4.1,225.0,225.0,0.0,0.0,1 L - Bottle,1 L ,1 L ,1000.0,0.225
856,856.0,Chilli Powder,Aashirvaad,3.8,400.0,360.0,40.0,10.0,500 g,500 g,500 g,500.0,0.72
914,914.0,Virgin Groundnut Oil,Patanjali,4.0,1125.0,1125.0,0.0,0.0,5 L - Jar,5 L ,5 L ,5000.0,0.225
933,933.0,Premium Diwali Gift Box,BB Royal,,299.0,190.0,109.0,36.45,"200 g - (Almonds, Raisins, Cashews, Apricots, 50 g each)",200 g ,200 g ,200.0,0.95
960,960.0,Chilli Powder,Aashirvaad,3.8,350.0,315.0,35.0,10.0,500 g,500 g,500 g,500.0,0.63
969,969.0,Premium Diwali Gift Box,BB Royal,4.0,749.0,525.0,224.0,29.91,"500 g - (Almonds, Cashews, Raisins, Pistachios, 125 g each)",500 g ,500 g ,500.0,1.05
979,979.0,Xpert Pro Immunity Oil - Blend Of Rice Bran & Sunflower Oil,Fortune,4.1,800.0,625.0,175.0,21.88,5 L - Jar,5 L ,5 L ,5000.0,0.125
