Product Name,Quantity,priceMRP,priceSALE,savePrice,pricepergm
Emperor Dates - Deseeded Dates,500 gm,150,120,30,(₹ 0.24 / 1 gm)
Emperor Dates - Dates with Seed,500 gm,110,85,25,(₹ 0.17 / 1 gm)
Premia Badam (Almonds),500 gm,550,400,150,(₹ 0.80 / 1 gm)
Premia Kaju Tukda (Cashews),100 gm,156,120,36,(₹ 1.20 / 1 gm)
Premia Mixed Dry Fruits,100 gm,94,67,27,(₹ 0.67 / 1 gm)
Premia Jardalu,100 gm,112,76,36,(₹ 0.76 / 1 gm)
Premia Black Dried Dates (Kharik),200 gm,175,122,53,(₹ 0.61 / 1 gm)
Premia Red Dried Dates (Kharik),100 gm,87,60,27,(₹ 0.60 / 1 gm)
Premia Kismis Black (Raisins),100 gm,67,48,19,(₹ 0.48 / 1 gm)
Premia Kismis Indian (Raisins),100 gm,42,30,12,(₹ 0.30 / 1 gm)
Premia Anjeer (Figs),100 gm,238,175,63,(₹ 1.75 / 1 gm)
Premia Premium Kaju (Cashews) - 210,100 gm,186,132,54,(₹ 1.32 / 1 gm)
Premia Kaju Special (Cashews),100 gm,169,126,43,(₹ 1.26 / 1 gm)
Premia Regular Kaju (Cashews) - 320,100 gm,156,109,47,(₹ 1.09 / 1 gm)
Premia Pista Plain (Pistachios),100 gm,394,272,122,(₹ 2.72 / 1 gm)
Premia Pista Salty (Pistachio),100 gm,230,159,71,(₹ 1.59 / 1 gm)
Premia Akrod Magaj (Walnut Kernels),100 gm,256,189,67,(₹ 1.89 / 1 gm)
Premia Kismis Selected (Raisins),100 gm,114,73,41,(₹ 0.73 / 1 gm)
Falcon Zahdi Dates Seeded,500 gm,125,105,20,(₹ 0.21 / 1 gm)
Falcon Zahdi Dates Seedless,500 gm,160,121,39,(₹ 0.24 / 1 gm)
Falcon UAE Dates Seeded,500 gm,165,119,46,(₹ 0.24 / 1 gm)
Falcon UAE Dates Seedless (Khajur),500 gm,200,159,41,(₹ 0.32 / 1 gm)
Date Crown Fard (Khajur),500 gm,288,185,103,(₹ 0.37 / 1 gm)
Date Crown Bumaan Dates,500 gm,150,75,75,(₹ 0.15 / 1 gm)
Emperor Royal Peacock Seeded Dates (Khajur),500 gm,125,93,32,(₹ 0.19 / 1 gm)
Date Crown Khenaizi (Khajur),500 gm,252,185,67,(₹ 0.37 / 1 gm)
Falcon Aqaba Dates,500 gm,150,115,35,(₹ 0.23 / 1 gm)
Akrod (Walnut) Whole,1 kg,932,699,233,(₹ 699.00 / 1 kg)
Premia Akrod Whole,200 gm,230,148,82,(₹ 0.74 / 1 gm)
Wonderland Roasted & Salted California Pista,400 gm,725,419,306,(₹ 1.05 / 1 gm)
Premium Dry Fruit Box,600 gm,950,599,351,(₹ 1.00 / 1 gm)
Premium Dry Fruit Box,400 gm,600,449,151,(₹ 1.12 / 1 gm)
Premia Flavoured Dry Fruits Celebration Pack,300 gm,670,399,271,(₹ 1.33 / 1 gm)
